-1.824249, 6.986237, 8.294617;
-0.886383, 6.743439, 7.763794;
-1.205353, 6.645844, 7.144897;
-0.941132, 6.029327, 6.395081;
-1.593353, 6.100739, 7.190125;
-1.281525, 6.324493, 7.359131;
-1.088715, 6.462555, 7.223450;
-0.953033, 6.543488, 6.852112;
-1.250580, 6.562531, 6.749756;
-1.202972, 6.486359, 6.373657;
-1.305328, 6.469696, 6.590271;
-0.867340, 6.350677, 6.816406;
-0.881622, 6.207855, 7.475769;
-1.122040, 6.174530, 7.585266;
-1.298187, 6.395905, 8.061340;
-0.995880, 6.514923, 7.770935;
-1.057770, 6.560150, 7.387695;
-1.279144, 6.441132, 7.225830;
-1.017303, 6.291168, 7.337708;
-0.888763, 6.238800, 7.490051;
-1.176788, 6.224518, 7.651917;
-1.260101, 6.295929, 7.523376;
-0.829254, 6.519684, 7.147278;
-1.010162, 6.436371, 6.754517;
-1.033966, 6.336395, 6.523621;
-0.917328, 6.193573, 7.073486;
-0.845917, 6.200714, 7.697144;
-0.743561, 6.264984, 7.399597;
-0.634064, 6.303070, 7.166321;
-1.781403, 6.222137, 7.592407;
-0.829254, 6.191193, 7.202026;
-0.933990, 6.331635, 7.792358;
-0.834015, 6.262604, 7.994690;
-0.814972, 6.364960, 8.127991;
-0.812592, 6.607758, 7.675720;
-0.829254, 6.550629, 7.361511;
-0.817352, 6.329254, 7.537659;
-1.424347, 6.167389, 8.177979;
-0.460297, 6.012665, 8.270813;
-0.148468, 6.193573, 7.837585;
-0.286530, 6.207855, 7.661438;
-0.479340, 6.191193, 7.932800;
-0.462677, 6.081696, 7.942322;
-1.336273, 6.086456, 8.244629;
-1.538605, 6.286407, 8.456482;
-1.648102, 6.105499, 7.958984;
-1.141083, 6.317352, 7.078247;
-0.550751, 6.298309, 7.042542;
-0.127045, 6.305450, 7.494812;
-0.365082, 6.105499, 7.382935;
-0.812592, 5.793671, 7.344849;
-0.200836, 5.755585, 7.292480;
0.287140, 5.798431, 7.570984;
0.034821, 5.915070, 7.866150;
0.039581, 6.200714, 7.378174;
-0.215118, 6.305450, 6.590271;
-0.088959, 6.326874, 6.611694;
-1.510040, 7.002899, 4.609802;
-1.498138, 5.824615, 6.490295;
-1.448151, 6.743439, 6.645020;
-0.493622, 6.238800, 7.513855;
-0.012787, 6.138824, 8.518372;
-0.077057, 6.407806, 7.518616;
-0.755463, 6.774384, 6.192749;
-1.102997, 6.693451, 6.180847;
-0.681671, 6.445892, 6.709290;
-0.372223, 6.357819, 7.937561;
-0.396027, 6.310211, 8.687378;
-0.507904, 6.400665, 8.085144;
-1.007782, 6.567291, 7.666199;
-1.300568, 6.581573, 7.908997;
-0.900665, 6.662506, 8.147034;
-0.979218, 6.553009, 8.263672;
-0.917328, 6.662506, 8.197021;
-0.838776, 6.683929, 7.735229;
-0.798309, 6.683929, 7.359131;
-0.798309, 6.760101, 7.197266;
-0.424591, 6.788666, 6.723572;
-0.662628, 6.741058, 6.635498;
-0.710236, 6.629181, 6.521240;
-0.574554, 6.529205, 6.526001;
-0.641205, 6.543488, 6.490295;
-0.305573, 6.702972, 6.164185;
-0.143707, 6.869598, 5.657166;
-0.574554, 7.105255, 5.488159;
-0.757843, 7.169525, 5.281067;
-0.198456, 6.841034, 5.671448;
0.013397, 6.655365, 6.471252;
-0.184174, 6.595856, 6.883057;
-0.277008, 6.788666, 6.692627;
-0.241302, 6.926727, 6.766418;
-0.450775, 6.819611, 7.302002;
-0.503143, 6.655365, 7.925659;
-0.410309, 6.648224, 8.363647;
-0.465057, 6.762482, 8.116089;
-0.855438, 6.717255, 8.380310;
-0.884003, 6.772003, 8.039917;
-0.324615, 7.024323, 8.166077;
-0.260345, 6.924347, 7.887573;
-0.491241, 6.888641, 7.480530;
-0.591217, 6.874359, 7.037781;
-0.638824, 6.810089, 6.816406;
-0.236542, 6.831512, 6.652161;
0.137177, 6.829132, 6.109436;
-0.331757, 6.926727, 6.021362;
-0.493622, 6.979095, 6.118958;
-0.474579, 6.952911, 5.709534;
0.006256, 6.983856, 5.404846;
0.199066, 7.143341, 5.638123;
0.063385, 7.114777, 5.511963;
-0.079437, 7.090973, 5.169189;
-0.310333, 6.969574, 5.485779;
-0.138947, 6.736298, 6.016602;
0.210968, 6.595856, 6.625977;
0.020538, 6.398285, 7.590027;
-0.124664, 6.483978, 7.794739;
0.101471, 6.524445, 7.863770;
0.234772, 6.681549, 8.037537;
-0.072296, 6.617279, 8.308899;
-0.234161, 6.769623, 8.192261;
-0.391266, 6.693451, 8.461243;
-0.317474, 6.702972, 8.468384;
-0.417450, 6.793427, 8.208923;
-0.436493, 6.836273, 8.070862;
-0.134186, 6.814850, 7.944702;
-0.236542, 6.722015, 7.825684;
-0.034210, 6.645844, 7.423401;
-0.098480, 6.593475, 7.254395;
0.013397, 6.641083, 6.959229;
0.125275, 6.655365, 6.497437;
0.125275, 6.752960, 6.442688;
0.034821, 6.817230, 6.130859;
