8.059052, 3.315704, 3.469604;
8.720795, 2.639679, 4.997803;
9.532501, 2.596832, 4.612183;
9.646759, 2.580170, 4.093262;
8.580353, 1.797028, 2.236572;
8.458954, 1.901764, 2.465088;
9.387299, 1.090057, 1.817627;
10.672699, 0.461639, 2.817383;
10.877411, 0.456879, 4.797852;
10.432281, 0.730621, 6.173706;
10.477509, 0.897247, 4.750244;
9.844330, 0.456879, 3.564819;
8.949310, -0.107269, 3.395813;
5.588226, 0.649689, 4.200378;
6.811737, -0.078705, 2.084229;
7.456818, 0.080780, 2.584106;
6.652252, -0.045380, 2.208008;
6.961700, -1.571198, -1.388733;
8.023346, -0.676178, -2.631287;
6.859344, -0.133453, -1.883850;
4.857452, 0.128387, 1.298706;
6.702240, -0.795197, -0.926941;
6.319000, -0.473846, -1.629150;
5.602509, -2.680450, -0.843628;
8.554169, 0.033173, 1.124939;
7.006927, -1.152252, 2.079468;
5.792938, -2.378143, 0.741699;
5.802460, -3.149384, 1.060669;
8.649384, -2.668549, 1.958069;
11.765289, -2.666168, 4.159912;
13.752899, -2.756622, 4.716919;
14.483673, -2.582855, 3.538635;
14.271820, -3.523102, 2.795959;
14.212311, -5.341705, 2.857849;
15.095428, -6.255768, 3.695740;
15.031158, -6.810394, 3.112549;
13.164948, -7.291229, 1.734314;
12.912628, -7.850616, 0.437012;
13.964752, -6.962738, 0.258484;
11.767670, -4.998932, 0.732178;
8.889801, -5.027496, 0.403687;
5.316864, -6.808014, 0.415588;
4.557526, -7.431671, 0.287048;
6.373749, -6.753265, 0.263245;
8.304230, -5.403595, 1.196350;
8.428009, -7.484039, -0.524658;
4.897919, -5.579742, -0.396118;
6.299957, -5.791595, -0.496094;
6.333282, -5.167938, 0.127563;
6.295197, -5.494049, 1.589111;
7.306854, -5.325043, 2.146118;
8.378021, -6.003448, 4.186096;
7.806732, -6.322418, 4.357483;
7.333038, -4.777557, 3.610046;
8.237579, -5.648773, -2.919312;
6.768890, -4.280060, -7.313477;
7.352081, -5.686859, 2.962585;
9.277802, -6.379547, 5.292969;
9.006439, -7.445953, 7.159180;
